Period;Grupp;Serie;Medel;Ultimo
1994 juni;Riksbankens styrräntor;Styrränta;6,9343;6,92
1994 juli;Riksbankens styrräntor;Styrränta;6,92;6,92
1994 augusti;Riksbankens styrräntor;Styrränta;7,0539;7,20
1994 september;Riksbankens styrräntor;Styrränta;7,20;7,20
1994 oktober;Riksbankens styrräntor;Styrränta;7,20;7,20
1994 november;Riksbankens styrräntor;Styrränta;7,3909;7,40
1994 december;Riksbankens styrräntor;Styrränta;7,5143;7,60
1995 januari;Riksbankens styrräntor;Styrränta;7,60;7,60
1995 februari;Riksbankens styrräntor;Styrränta;7,7075;7,83
1995 mars;Riksbankens styrräntor;Styrränta;8,0696;8,20
1995 april;Riksbankens styrräntor;Styrränta;8,3361;8,41
1995 maj;Riksbankens styrräntor;Styrränta;8,41;8,41
1995 juni;Riksbankens styrräntor;Styrränta;8,6225;8,66
1995 juli;Riksbankens styrräntor;Styrränta;8,8862;8,91
1995 augusti;Riksbankens styrräntor;Styrränta;8,91;8,91
1995 september;Riksbankens styrräntor;Styrränta;8,91;8,91
1995 oktober;Riksbankens styrräntor;Styrränta;8,91;8,91
1995 november;Riksbankens styrräntor;Styrränta;8,91;8,91
1995 december;Riksbankens styrräntor;Styrränta;8,91;8,91
1996 januari;Riksbankens styrräntor;Styrränta;8,7186;8,45
1996 februari;Riksbankens styrräntor;Styrränta;8,3405;8,05
1996 mars;Riksbankens styrräntor;Styrränta;7,7548;7,40
1996 april;Riksbankens styrräntor;Styrränta;7,15;6,90
1996 maj;Riksbankens styrräntor;Styrränta;6,67;6,50
1996 juni;Riksbankens styrräntor;Styrränta;6,2474;6,10
1996 juli;Riksbankens styrräntor;Styrränta;5,8152;5,55
1996 augusti;Riksbankens styrräntor;Styrränta;5,4409;5,25
1996 september;Riksbankens styrräntor;Styrränta;5,1643;5,05
1996 oktober;Riksbankens styrräntor;Styrränta;4,9239;4,60
1996 november;Riksbankens styrräntor;Styrränta;4,5643;4,35
1996 december;Riksbankens styrräntor;Styrränta;4,2528;4,10
1997 januari;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 februari;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 mars;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 april;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 maj;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 juni;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 juli;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 augusti;Riksbankens styrräntor;Styrränta;4,10;4,10
1997 september;Riksbankens styrräntor;Styrränta;4,10;4,10
